id,group,title,states,is_active,supersedes,bodyText,rule_type,content_type,verification_status,notes,effective_from,last_checked,choice_group,is_default,topic_key
edu-confirmed-absences-habitability-ne,Landlord Responsibilities,Colorado-Style Habitability Protections Nebraska Does Not Have,NE,TRUE,,"Four habitability-adjacent protections that exist in Colorado have no Nebraska equivalent. (1) NO BLANKET NON-WAIVER: Nebraska has no habitability-specific non-waivability section. Habitability rights are non-waivable only through the general bar at §76-1415(1)(a), and §76-1419(2)-(3) actually permits shifting certain maintenance duties to the tenant by separate written agreement for good consideration, provided it is not a device to evade your obligations. (2) NO VERBAL-NOTICE RULE: Nebraska does not address whether a lease may designate oral notice as sufficient. The URLTA specifies 'written notice' wherever it matters (§§76-1425, 76-1427, 76-1431, 76-1437), so oral notice will not satisfy those provisions regardless. (3) NO RENTER'S-INSURANCE BAN: Nebraska does not prohibit requiring renter's insurance, and does not specifically bar pushing landlord-responsible repairs onto it - though §76-1415(1)(d) independently voids clauses exculpating or indemnifying you for your own active and actionable negligence. (4) NO OPERATIONAL DUTIES: Nebraska imposes no duty to respond within a set time, communicate, document, or give notice of remediation. Its structure is tenant-remedy-triggered - the tenant gives written notice and statutory clocks then govern the tenant's remedies.",RECOMMENDED,LANDLORD_EDUCATION,VERIFIED,"CONFIRMED ABSENT x4, closing four CO re-audit checklist rows for NE. Full URLTA reviewed. Recorded as one row rather than four because they share a root: Nebraska is a light-touch 1974 URLTA state that never received Colorado's 2019-2024 habitability overlay. Contrast noted for the mobile home act, §76-1475(2), which EXPRESSLY permits requiring tenant liability insurance naming the landlord - covering tenant negligence, not landlord-responsible repairs; do not read that as authority for the general rental case, and mobile homes are out of scope regardless.",2026-08-31,2026-08-31,,,confirmed-absences-habitability
edu-confirmed-absences-misc-ne,Notices & General,Other Provisions Nebraska Does Not Have,NE,TRUE,,"Four more confirmed absences, each of which exists in a neighboring state. (1) NO PAYMENT-METHOD FEE BAN IDENTIFIED: no Nebraska statute was found prohibiting or capping a convenience fee for a particular rent payment method. The only Nebraska convenience-fee statutes, §13-609 and §81-118.01, govern GOVERNMENT payees and do not reach private landlords. Any such fee remains subject to the unconscionability doctrine at §76-1412. (2) NO FRAUDULENT-MISREPRESENTATION TERMINATION: unlike North Dakota, Nebraska has no statutory right to terminate for a false rental application. Your route is to incorporate the application into the lease as a representation, making a material falsehood a breach under §76-1431(1), backed by common-law fraud and rescission preserved by §76-1403. (3) NO DOUBLE-LETTING STATUTE: no Nebraska analog to North Dakota's ban on letting the same room twice with a rent-abatement remedy; the nearest provision is the general failure-to-deliver-possession remedy at §76-1426. (4) NO SMOKE-DETECTOR EVIDENTIARY OR INSURANCE SHIELD: unlike Kansas, whose statute makes non-compliance inadmissible on civil liability and bars insurers from reducing payment, Nebraska's series contains no such protection. Its only liability-adjacent language is the narrow no-violation-without-notice defense in §81-5,144.",RECOMMENDED,LANDLORD_EDUCATION,NEEDS_REVIEW,"CONFIRMED ABSENT x4, closing ND and KS re-audit checklist rows for NE. Checked Chapters 76, 45, 13, 81 and the full URLTA. The smoke-detector finding is the sharpest: Kansas's K.S.A. 31-162(g)-(h) shields have NO Nebraska counterpart in §§81-5,132 to 81-5,146, so a Nebraska landlord's non-compliance carries civil-liability exposure a Kansas landlord's does not - which makes carbon-monoxide-alarm-duty-ne and smoke-detector-duty-ne MORE important in NE than the same clauses would be in KS. OPEN, flagged not hidden: the exact penalty grade in §81-5,146 ('Violations; penalty') was not retrieved from primary source - the Legislature site's comma-formatted URL mis-resolves to §81-146, a repealed section. Existence, title, and absence of any shield are confirmed; only the misdemeanor class is open. | DOWNGRADED TO NEEDS_REVIEW 2026-08-31 per §5a.2 corollary. Three of the four absences here rest on this session's own direct reading: double-letting and fraudulent-misrepresentation termination on the full URLTA read, and the smoke-detector shield absence on §81-5,144 plus the §§81-5,132 to 81-5,146 series structure. Those are solid. The PAYMENT-METHOD FEE BAN absence is different: it rests on the research pass's review of Chapter 45, which this session did not read. Chapter 45 is large and a fee provision could sit in it unread. Language softened from 'Nebraska does not prohibit' to 'no Nebraska statute was found,' which is what is actually supported. A negative cannot be closed by pasting text — resolve by a targeted Chapter 45 read, or leave standing as an identified-not-proven absence.",2026-08-31,2026-09-03,,,confirmed-absences-misc
edu-no-all-in-pricing-law-ne,Rent & Payment,No All-In Pricing or Fee-Transparency Law in Nebraska,NE,TRUE,,"Nebraska has no analog to Colorado's Honest Pricing Act or any other statute requiring that advertised rent disclose mandatory fees, or that fees be bundled into a single all-in price. You may advertise base rent and disclose mandatory fees separately in the lease. Three real limits still apply. Nebraska's unconscionability doctrine sits inside the URLTA itself at §76-1412, letting a court refuse to enforce an unconscionable agreement or provision. Separately, §76-1415(2) makes a prohibited provision unenforceable and exposes you to actual damages and attorney's fees if you deliberately use one you know is prohibited. And federal unfair-and-deceptive-practices rules on fee disclosure apply regardless of state law. Disclosing mandatory recurring fees clearly and up front is the safer practice even though Nebraska does not compel it.",RECOMMENDED,LANDLORD_EDUCATION,VERIFIED,"CONFIRMED ABSENT. *** CANVASS PASS 2 CATCH - a proof-of-absence violation, not a research gap. *** The consolidated checklist already recorded this topic as 'Confirmed absent' for NE from the original pass, but NO CSV ROW WAS EVER CREATED. That is precisely the failure the proof-of-absence standard exists to prevent: a logged-only absence is invisible to every future canvass, because a canvass reads the library, not the checklist's prose. Pass 1 of this re-audit did not catch it either - pass 1 worked from the structurally-unchecked set and the research batch, and this row sat in the 49 'carrying original-pass values' bucket that was supposed to be treated as suspect. Pass 2's lexical coverage sweep over the whole NE corpus found it. Direct vindication of the two-pass rule AND of Taylor's instruction to treat the 49 as suspect rather than done. Nebraska's unconscionability doctrine (§76-1412) is native to the URLTA, structurally unlike Kansas's external Consumer Protection Act backstop - so the KS row's 'real nuance not a clean absence' caveat does NOT transfer to Nebraska in the same form.",2026-08-31,2026-08-31,,,all-in-pricing-law
edu-fair-housing-protected-classes-mn,Compliance & Prohibited Terms,Minnesota's Protected Classes Go Beyond Federal Law,MN,TRUE,,"The Minnesota Human Rights Act (Minn. Stat. § 363A.09) protects more classes in housing than federal law does. In addition to the federal list, Minnesota protects creed, marital status, status with regard to public assistance, sexual orientation, gender identity, and familial status. 'Status with regard to public assistance' is the one that most often catches landlords out — refusing an applicant because they pay with a Section 8 voucher or other housing assistance is a protected-class problem in Minnesota, not a neutral business decision. Narrow exemptions exist (§§ 363A.21, 363A.22, 363A.26), mainly for a resident owner-occupier renting a room in a one-family home and for certain nonprofit and religious housing.",PROHIBITED,LANDLORD_EDUCATION,VERIFIED,"MN added (MN re-audit 2026-09-03) — PROOF-OF-ABSENCE VIOLATION FIX. MN log §13 recorded this as 'Present, broader than federal' with the note 'Not yet logged as its own row/education entry — flag for a future session,' and it never was. Zero MN rows mentioned §363A, fair housing, or protected classes before this row. Same failure shape as the NE re-audit's rental-fee-transparency catch, but WORSE: a confirmed-absent topic with no row is merely invisible to future canvasses, whereas a PRESENT topic with no row means the generated MN lease is missing content it should carry. Protected-class list confirmed against §363A.09 operative text; the list was NOT expanded by 2024-2026 session laws. | MN re-audit 2026-09-03, canvass pass 2: 'source-of-income lease-statement duty vs acceptance duty, and whether the exemptions differ' canvass topic resolved for MN. Minnesota has NO separate source-of-income lease-STATEMENT duty — 'status with regard to public assistance' is simply an enumerated protected class in §363A.09, so the acceptance duty and any statement obligation arise from the same provision and carry the SAME exemptions (§§363A.21, .22, .26). This differs from states that impose a standalone voucher-acceptance statute with its own exemption set. Recorded here rather than as a separate row because the answer is a property of this row's own statute.",2026-09-03,2026-09-03,,,fair-housing-protected-classes
edu-protected-class-inquiry-record-ban-mn,Compliance & Prohibited Terms,"Minnesota Bans Protected-Class Inquiries and Records, Not Just Discrimination",MN,TRUE,,"Separately from the ban on discriminating, Minn. Stat. § 363A.09 subd. 1(3) and subd. 2(3) make it unlawful to make or cause to be made any record or inquiry, written or oral, in connection with a prospective rental that expresses any limitation or discrimination as to a protected class. This reaches your application form, your screening questions, and the notes and custom fields in your property-management software — not just your rental decision. A field that records an applicant's religion, national origin, or public-assistance status is a problem even if you never act on it. Unlike the federal rule, Minnesota's inquiry and advertising ban IS subject to the statutory exemptions in §§ 363A.21, 363A.22, and 363A.26, so a landlord who genuinely qualifies for one of those narrow exemptions is outside it.",PROHIBITED,LANDLORD_EDUCATION,VERIFIED,"MN added (MN re-audit 2026-09-03): resolves one of the ten NE re-audit canvass rows previously marked 'not checked for any state but NE' — the protected-class INQUIRY AND RECORD ban, NE analog §20-318(5). MN answer: PRESENT, at §363A.09 subd. 1(3) and 2(3). Also resolves the companion NE row 'does the advertising ban SURVIVE the exemptions, or is it subject to them?' — for MN it is SUBJECT TO them (the statutory NOTE to §363A.09 states exemptions are covered under §§363A.21, 363A.22, 363A.26), which is the same answer NE reached and the OPPOSITE of the federal rule, where 42 U.S.C. §3604(c) survives the Mrs. Murphy exemption. Directly relevant to Steinoak product design (application forms, CRM fields), not only lease text.",2026-09-03,2026-09-03,,,protected-class-inquiry-record-ban
edu-retaliation-protections-mn,Compliance & Prohibited Terms,"Minnesota's Retaliation Rules, Including Immigration Reporting",MN,TRUE,,"Minnesota bars retaliating against a tenant for complaining about a violation or for organizing. Under Minn. Stat. § 504B.441 you may not evict, increase obligations, or decrease services as a penalty for a tenant's good-faith complaint, and § 504B.285 subd. 2 gives the tenant a retaliation defense in an eviction action. If the adverse action falls within 90 days of the protected activity, the burden is on YOU to show a non-retaliatory reason. Minnesota added a tenant-organizing provision in 2024 (§ 504B.212 subd. 2) that also expressly bars contacting federal or state law enforcement about a tenant's immigration status in retaliation — penalty up to $1,000 per occurrence plus attorney fees. The practical takeaway: document your non-retaliatory reason contemporaneously, because the 90-day window puts the burden on you.",PROHIBITED,LANDLORD_EDUCATION,VERIFIED,"MN added (MN re-audit 2026-09-03) — second PROOF-OF-ABSENCE VIOLATION FIX. MN log §13 recorded retaliation as Present (§504B.441 + §504B.285 subd. 2 + the 2024 immigration-reporting addition) with 'Not yet logged as its own CSV row — candidate for a future session'; never done. Zero MN rows mentioned retaliation before this row. The immigration-reporting bar is at §504B.212 subd. 2 (2024 c 118), i.e. inside the tenant-organizing section — note this is a DIFFERENT provision from the immigration-status-INQUIRY bans, which in Minnesota are municipal (Minneapolis, April 2026), not statewide. Do not conflate the two; MN's statewide protection is retaliation-based only.",2026-09-03,2026-09-03,,,retaliation-protections
edu-rent-control-preemption-mn,Compliance & Prohibited Terms,Minnesota Lets Cities Adopt Rent Control by Referendum,MN,TRUE,,"Minn. Stat. § 471.9996 bars cities, counties, and towns from adopting rent control on private residential property — but with a significant exception: a local rent-control ordinance IS permitted if it is approved at a general election. Minnesota is therefore not a clean preemption state. St. Paul has an enacted, in-effect rent-stabilization ordinance adopted under this exception; Minneapolis voters authorized rent stabilization in 2021 but no ordinance has been enacted, so no cap currently applies there. If you operate in St. Paul, check the current ordinance before setting any increase.",CONSTRAINED,LANDLORD_EDUCATION,VERIFIED,"MN added (MN re-audit 2026-09-03): resolves the NE re-audit canvass row 'rent-control preemption' (NE §13-331, KS 12-16,120) for MN. MN's answer is materially DIFFERENT from NE and KS — those are flat preemption; §471.9996 subd. 2 carves out voter-approved local ordinances, which is why St. Paul's Chapter 193A exists at all. Do not record MN as 'preemption present' without this qualifier. St. Paul specifics (3% standard cap, permanent post-2004 new-construction exemption adopted May 2025) are municipal and flagged, not resolved, consistent with the standing municipal-scope boundary.",2026-09-03,2026-09-03,,,rent-control-preemption
edu-service-animal-misrepresentation-scope-mn,Pets,Minnesota's Service-Animal Fraud Crime Does Not Reach Housing,MN,TRUE,,"Minnesota has a criminal penalty for misrepresenting an animal as a service animal (Minn. Stat. § 609.833), but it is written for a 'place of public accommodation' — defined as a business, accommodation, refreshment, entertainment, recreation, or transportation facility whose goods or services are made available to the public. A leased dwelling is very unlikely to fit: the Human Rights Act treats housing and real property as a separate category from public accommodations, and a tenancy is not extended to the public at large. So you should not expect this crime to cover a tenant who misrepresents a pet as a service or support animal, and you should not threaten a tenant or applicant with criminal prosecution over a rental application. Your actual remedy is the one in § 504B.113: where documentation is fraudulent or the tenant knowingly misrepresents a disability or the need for an animal, you may deny the application or the accommodation request, and nothing in that section prevents an eviction based on a breach of the lease.",RECOMMENDED,LANDLORD_EDUCATION,VERIFIED,"MN added (MN re-audit 2026-09-03): confirms and now formally logs the scope caveat MN §24 reached but never gave its own row. ALSO RESOLVES A FREEZE-DATE TRAP (NE re-audit canvass row, previously unchecked for MN): §609.833 subd. 1(2) defines 'service animal' by reference to 28 C.F.R. §36.104 'as amended through March 1, 2018' — a FROZEN incorporation. By contrast §504B.113 subd. 1(b), the housing statute, uses 'as amended' — a DYNAMIC reference tracking current federal text. So Minnesota's two service-animal definitions can diverge over time. This is the opposite of Nebraska's problem (NE froze its HOUSING definition to the 2008 C.F.R.); in MN the freeze sits on the criminal statute, which does not reach housing anyway, so the practical exposure is low — but the divergence is real and should not be flattened. | REFINED 2026-09-03: §363A.03 subd. 34 read from primary text — the definition relied on for this row's scope conclusion. Full text: 'a business, accommodation, refreshment, entertainment, recreation, or transportation facility of any kind, whether licensed or not, whose goods, services, facilities, privileges, advantages or accommodations are extended, offered, sold, or otherwise made available to the public.' THE PRIOR VERSION OVERSTATED CERTAINTY. It asserted flatly that the crime 'does not cover' a tenant misrepresenting a pet. The statute contains NO express housing carve-out, and the word 'accommodation' appears inside the definition — a litigant could argue from it. The conclusion is a STRUCTURAL INFERENCE, well supported but not express: (a) the MHRA treats housing/real property (§363A.09) and public accommodations (§363A.11) as separate categories with separate prohibitions and separate policy declarations at §363A.02; and (b) a leased dwelling is not 'made available to the public.' Row now says 'very unlikely to fit' and 'should not expect,' which is what the text supports. GENUINE NUANCE NOT PREVIOUSLY CONSIDERED, flagged rather than buried: a public-facing LEASING OFFICE plausibly IS a place of public accommodation in its own right, so a misrepresentation made there during an application is not as cleanly outside §609.833 as a misrepresentation by a sitting tenant. This does not change the practical advice — do not threaten prosecution — but it means the negative should not be stated as categorical. The freeze-date finding (§609.833 subd. 1(2) locks 'service animal' to 28 C.F.R. §36.104 as amended through March 1, 2018, while §504B.113 subd. 1(b) is dynamic) is unaffected and stands as previously logged.",2026-09-03,2026-09-03,,,service-animal-misrepresentation-scope
edu-esa-independent-basis-mn,Pets,"Minnesota Has Its Own Support-Animal Law, Independent of Federal Guidance",MN,TRUE,,"Minnesota does not leave assistance animals to federal law alone. Minn. Stat. § 504B.113 independently regulates both service animals and support animals in housing, and it defines a support animal as one providing emotional support that alleviates symptoms of a disability, expressly noting such an animal 'does not need to be trained to perform a specific disability-related task.' You may not charge a pet deposit, pet rent, or other pet fee for a qualifying animal, you may request documentation only from a 'licensed professional' as the statute defines that term, and you may not demand medical records or access to the tenant's providers. Minnesota also uses its own state definition of disability rather than a federal one. One important limit: the statute defines 'reasonable accommodation' as a waiver of a no-pets or pet-fee policy 'consistent with the Fair Housing Act ... and section 504 of the Rehabilitation Act,' so while Minnesota's support-animal definition and documentation rules are its own, the accommodation standard itself still tracks federal law. Watch federal developments rather than assuming Minnesota fully insulates you.",REQUIRED,LANDLORD_EDUCATION,VERIFIED,"MN added (MN re-audit 2026-09-03): resolves the CO re-audit's ESA-independent-basis canvass row for MN, previously unchecked. CLASSIFICATION: category 1 — independent, animal-specific, housing-express statute (same category as NE; stronger than KS, which has a generic duty and expressly excludes ESAs, and stronger than WY, which is federally tethered). Species-open: §504B.113 does not limit support animals to dogs, unlike K.S.A. 39-1102's dogs-only scope. QUALIFIER, surfaced rather than smoothed over: §504B.113 subd. 1's definition of 'reasonable accommodation' still cross-references the federal Fair Housing Act and Rehabilitation Act, so while the ESA DEFINITION is independent, the accommodation TRIGGER remains partly federally tethered. MN is therefore strong but not fully insulated. | CORRECTED 2026-09-03, same session: §504B.113 read in full (revisor.mn.gov PDF) after this row was drafted from the extended-research summary. MY EARLIER FRAMING OVERSTATED MINNESOTA'S INSULATION. The prior body text told landlords their ESA obligations 'rest on state law and are not affected by' HUD's 2025 guidance withdrawal and 2026 narrowed enforcement standard. That is too strong. Subd. 1(f) defines 'reasonable accommodation' as a waiver of a no-pets or pet-fee policy 'consistent with the Fair Housing Act, United States Code, title 42, sections 3601 to 3619, AS AMENDED, and section 504 of the Rehabilitation Act of 1973 ... AS AMENDED.' The reference is DYNAMIC, so a narrowing of the federal accommodation standard plausibly narrows Minnesota's trigger too. WHAT IS GENUINELY INDEPENDENT: the support-animal definition (subd. 1(c), no training required), the closed licensed-professional list (subd. 1(e), which expressly excludes anyone 'who operates primarily to provide certification' — i.e. ESA mills), the fee prohibition (subd. 3(a)), the bar on demanding medical records (subd. 2(b)), and the disability definition, which uses MN §363A.03 subd. 12 rather than a federal one. CLASSIFICATION HELD as category 1 (independent animal-specific housing-express statute) but with the accommodation trigger correctly described as federally tethered rather than glossed over.",2026-09-03,2026-09-03,,,esa-independent-basis
edu-ouster-utility-floor-remedies-mn,Landlord Responsibilities,"Utility Shutoff and Lockout Damages Are a Floor, Not a Ceiling",MN,TRUE,,"If you interrupt a tenant's electricity, heat, gas, or water, or lock a tenant out, Minnesota does not make the tenant prove actual losses. Under Minn. Stat. § 504B.221 and § 504B.231 the tenant recovers treble damages OR $500, whichever is greater, plus reasonable attorney fees — a statutory floor that applies even where actual damages are small. Intentional shutoffs and lockouts are also a misdemeanor under § 504B.225, which presumes unlawful intent once the tenant shows you interrupted service intentionally, putting the burden on you to rebut it. None of these rights can be waived by anything in a lease. Never use utility interruption or a lock change as leverage — use the eviction process.",PROHIBITED,LANDLORD_EDUCATION,VERIFIED,"MN added (MN re-audit 2026-09-03): resolves the NE re-audit canvass row 'statutory-floor remedies for ouster and abusive entry' (NE §76-1430 / §76-1438(2)) for MN. MN answer: PRESENT, treble-or-$500 floor at §504B.221(a) and §504B.231(a), confirmed directly from revisor.mn.gov. Non-waiver language in §504B.221(b) read from primary source and is what drove the carve-out correction to services-utilities-provided-mn this session.",2026-09-03,2026-09-03,,,ouster-utility-floor-remedies
smoke-detector-duty-mn,Landlord Responsibilities,Smoke Alarms,MN,TRUE,,"The property is equipped with smoke alarms conforming to the State Fire Code. Landlord is responsible for maintaining the smoke alarms. Tenant will inform Landlord of a nonfunctioning smoke alarm within 24 hours of discovering that it is not functioning. Tenant will not disable, remove, or otherwise render any smoke alarm nonfunctioning.",REQUIRED,LEASE_CLAUSE,VERIFIED,"MN added (MN re-audit 2026-09-03): Minn. Stat. §299F.362, read directly from revisor.mn.gov. MN had NO smoke or CO alarm row of any kind before this session, while NE, ND, KS, SD, and WY all carried one — a §E adjacent-chapter gap (Ch. 299F, Fire Marshal, outside Ch. 504B). KEY: subd. 5 allocates maintenance to the OWNER for 'all occupancies covered by this section where the occupant is not the owner' — so in Minnesota the landlord maintains smoke alarms in EVERY rental, including a rented single-family home. This is BROADER than the CO-alarm allocation in §299F.51 (see carbon-monoxide-alarm-duty-mn) and the two must not be merged into one 'Landlord maintains all alarms' sentence. Subd. 5a: tenant's 24-hour notice duty, and failure to give it does NOT increase the tenant's liability for damages — so this clause states the duty but deliberately attaches no penalty to it. Subd. 6(b): an occupant who willfully disables an alarm causing damage or injury is guilty of a misdemeanor. Subd. 11: no insurer may deny a fire loss claim for noncompliance with this section — landlord-facing, not clause text. Subd. 7 preempts differing local standards, but subd. 9 lets a local body adopt MORE restrictive single-family installation rules, enforceable via truth-in-housing inspection — a live municipal-layer hook.",2026-09-03,2026-09-03,,,alarm-duties
carbon-monoxide-alarm-duty-mn,Landlord Responsibilities,Carbon Monoxide Alarms,MN,TRUE,,"Landlord will provide the property with an approved and operational carbon monoxide alarm installed within ten feet of each room lawfully used for sleeping, in working order at the commencement of the tenancy. Tenant is responsible for maintaining the carbon monoxide alarm during Tenant's occupancy, including replacing batteries as needed and replacing any alarm that is stolen, removed, found missing, or rendered inoperable during Tenant's occupancy. Tenant will not disable or remove any carbon monoxide alarm, and will notify Landlord promptly if an alarm cannot be restored to working order.",REQUIRED,LEASE_CLAUSE,VERIFIED,"MN added (MN re-audit 2026-09-03): Minn. Stat. §299F.51, read directly from revisor.mn.gov. READ-THE-WHOLE-SECTION TRAP, flagged rather than smoothed over: subd. 1 requires an operational CO alarm in EVERY single-family dwelling AND every multifamily dwelling unit — but subd. 2's OWNER duty to provide, install, and replace is textually limited to 'the owner of a multifamily dwelling unit.' Subd. 3's occupant maintenance duty is likewise written for 'the occupant of each dwelling unit in a multifamily dwelling.' So for a rented SINGLE-FAMILY house the subd. 1 requirement applies but the subd. 2/3 allocation does not textually reach it, leaving the duty split unallocated by this statute. An easy and wrong summary is 'the landlord must install CO alarms in all Minnesota rentals.' FLAGGED FOR TAYLOR: this clause is drafted for the multifamily case, which is the statute's clear scope. For single-family MN rentals the allocation should be set by the lease rather than assumed from statute — recommend a decision before this clause is offered on single-family properties. Also note the MAINTENANCE ALLOCATION IS THE OPPOSITE of smoke alarms: §299F.362 subd. 5 puts smoke-alarm maintenance on the owner, while §299F.51 subd. 3 puts CO-alarm maintenance on the occupant during their own occupancy. The owner's replacement duty under subd. 2(2) covers alarms rendered inoperable during a PRIOR occupancy and not replaced by the prior occupant. Exceptions in subd. 5: centralized alarms 15-25 ft from CO-producing central fixtures; owner certification to the commissioner of public safety for a dwelling with minimal or no CO sources; state-operated facilities excluded. First violation is a safety warning, not a penalty. CROSS-STATE: MN's CO duty is materially BROADER than Nebraska's, which the NE re-audit found is triggered only by new construction, sale, or permitted alteration. Do not inherit NE's framing for MN. | SINGLE-FAMILY ALLOCATION DECIDED 2026-09-03 (Taylor). The open question was who bears the carbon monoxide alarm duty in a rented SINGLE-FAMILY Minnesota home, where §299F.51 subd. 1 requires an operational alarm but subds. 2-3's owner/occupant allocation is written for MULTIFAMILY only and so does not textually reach it. DECISION: Landlord bears EXISTENCE at commencement (an approved, operational alarm, in working order at move-in); Tenant bears MAINTENANCE during occupancy (batteries, replacement of alarms rendered inoperable during their own occupancy). Body text rewritten accordingly — the prior version opened with the passive 'The property is equipped with...', which asserted a state of affairs without placing the duty on anyone. This mirrors subd. 2's multifamily allocation rather than inventing a new one, and leaves the landlord holding the part of the duty that is hardest to argue is the tenant's: having a working alarm on day one. Added a tenant notification duty so a failure the tenant cannot fix reaches the landlord. The multifamily case is unchanged and remains squarely within subds. 2-3.",2026-09-03,2026-09-03,,,alarm-duties
edu-alarm-duty-split-mn,Landlord Responsibilities,Minnesota Splits Smoke and CO Alarm Duties in Opposite Directions,MN,TRUE,,"Minnesota assigns smoke alarm and carbon monoxide alarm responsibility to different parties, and getting this backwards is a common and consequential mistake. For SMOKE alarms (Minn. Stat. § 299F.362 subd. 5), wherever the occupant is not the owner, YOU are responsible for maintenance — in every rental, including a rented single-family house. Your tenant's only duty is to tell you within 24 hours of finding one nonfunctioning, and if they fail to tell you, that failure does not increase their liability. For CARBON MONOXIDE alarms (§ 299F.51), the allocation flips: in multifamily housing YOU provide and install, and you replace any alarm rendered inoperable during a PRIOR tenancy, but the current occupant maintains it during their own occupancy, including batteries. Two further points worth knowing: an insurer cannot deny a fire loss claim because you failed to comply with the smoke alarm statute, and while local governments generally cannot set different smoke alarm standards, they CAN adopt stricter installation rules for single-family homes and enforce them through a truth-in-housing inspection.",REQUIRED,LANDLORD_EDUCATION,VERIFIED,"MN added (MN re-audit 2026-09-03): companion to smoke-detector-duty-mn and carbon-monoxide-alarm-duty-mn. Exists specifically because the two statutes allocate maintenance in opposite directions, which is exactly the kind of detail a single merged 'alarms' clause would flatten and get wrong. Both sections read in full from revisor.mn.gov rather than the subdivision needed, per the standing whole-section rule.",2026-09-03,2026-09-03,,,alarm-duty-split
edu-abandoned-property-retake-duty-mn,Default & Termination,You Must Let a Tenant Retake Property Within 24 Hours of Written Demand,MN,TRUE,,"Holding a tenant's belongings after they leave carries a deadline most landlords do not know about. Under Minn. Stat. § 504B.271 subd. 2, once the tenant makes written demand you must allow them to retake their property within 24 hours — or within 48 hours excluding weekends and holidays if you moved the property to storage somewhere other than the premises. Miss that window and the tenant recovers punitive damages of up to twice the actual damages or $1,000, whichever is greater, on top of actual damages and reasonable attorney fees. Courts weigh the value of the property, the effect losing it had on the tenant, whether you took it unlawfully, and whether you acted in bad faith. If you took possession unlawfully, you also pay the removal, storage, and care costs yourself rather than charging them to the tenant. None of this can be waived by a lease.",PROHIBITED,LANDLORD_EDUCATION,VERIFIED,"MN added (MN re-audit 2026-09-03): found while primary-reading §504B.271 in full to re-verify the 28-day and 14-day figures in abandoned-property-mn. Subd. 2's retake-on-demand duty and punitive-damages exposure appeared NOWHERE in the library — the original MN session cited §504B.271 but read only the subdivision that answered the disposal-timing question, which is precisely the partial-read failure mode the NE re-audit identified. The 24h/48h split turns on whether the property was stored ON the premises or moved elsewhere. Housing-authority landlords are exempt from the punitive-damages remedy but must still permit retaking (subd. 2, final paragraph). Non-waivable per subd. 4.",2026-09-03,2026-09-03,,,abandoned-property-retake-duty
edu-infirmity-termination-accessible-unit-mn,Default & Termination,You Can Defeat an Infirmity Termination by Offering an Accessible Unit,MN,TRUE,,"Minnesota lets a tenant end a lease early on two months' notice when a medical professional finds they need to move into certain licensed care facilities (Minn. Stat. § 504B.266). What most landlords miss is the exception: if the tenant's need is for an ACCESSIBLE unit, and you can offer one in the same complex that becomes available within two months of their request, the statute does not apply and the tenant may not terminate. This is worth knowing before you accept a termination notice — if you have an accessible unit coming open, offering it keeps the tenancy. Note this only works for the accessible-unit situation; it does not help where the tenant is genuinely moving into a nursing home, assisted living, or another enumerated facility.",RECOMMENDED,LANDLORD_EDUCATION,VERIFIED,MN added (MN re-audit 2026-09-03): companion to the termination-infirmity-mn correction. Found only by reading §504B.266 in full rather than the subdivision stating the notice period — the original session captured subd. 3's two-month mechanics and never reached subd. 2(b)'s defeasance. Same partial-read failure mode as the §504B.271 subd. 2 miss logged at RA-12. 'Accessible unit' is defined at §363A.40 subd. 1.,2026-09-03,2026-09-03,,,infirmity-termination-accessible-unit
